2024-08-19 16:58:54,TAG,0010,-27,ff:ff:10:d5:4d:85,0,1036
2024-08-19 16:58:54,TAG,000e,-54,ff:ff:10:d5:4d:85,0,1800
2024-08-19 16:58:55,TAG,000d,-44,ff:ff:10:d5:4d:85,0,1725
2024-08-19 16:58:55,HEARTBEAT,0010,,,0,1037
2024-08-19 16:58:55,TAG,000d,-42,ff:ff:10:d5:6f:2f,0,1726
2024-08-19 16:58:55,TAG,0010,-26,ff:ff:10:d5:4d:85,0,1038
2024-08-19 16:58:56,TAG,000d,-44,ff:ff:10:d5:4d:85,0,1727
2024-08-19 16:58:56,TAG,000e,-55,ff:ff:10:d5:4d:85,0,1801
2024-08-19 16:58:56,TAG,0010,-41,ff:ff:10:d5:6f:2f,0,1039
2024-08-19 16:58:56,TAG,000e,-46,ff:ff:10:d5:6f:2f,0,1802
2024-08-19 16:58:56,TAG,000d,-43,ff:ff:10:d5:6f:2f,0,1728
2024-08-19 16:58:57,HEARTBEAT,0010,,,0,1040
2024-08-19 16:58:57,TAG,0010,-28,ff:ff:10:d5:4d:85,0,1041
2024-08-19 16:58:57,TAG,000e,-45,ff:ff:10:d5:4d:85,0,1803
2024-08-19 16:58:57,TAG,000d,-45,ff:ff:10:d5:4d:85,0,1729
2024-08-19 16:58:58,TAG,0010,-46,ff:ff:10:d5:6f:2f,0,1042
2024-08-19 16:58:58,TAG,000d,-43,ff:ff:10:d5:6f:2f,0,1730
2024-08-19 16:58:58,TAG,000e,-42,ff:ff:10:d5:6f:2f,0,1804
2024-08-19 16:58:59,TAG,0010,-27,ff:ff:10:d5:4d:85,0,1043
2024-08-19 16:58:59,TAG,000e,-45,ff:ff:10:d5:4d:85,0,1805
2024-08-19 16:58:59,TAG,000d,-46,ff:ff:10:d5:4d:85,0,1731
2024-08-19 16:59:00,HEARTBEAT,0010,,,0,1044
2024-08-19 16:59:00,TAG,0010,-44,ff:ff:10:d5:6f:2f,0,1045
2024-08-19 16:59:00,TAG,000e,-43,ff:ff:10:d5:6f:2f,0,1806
2024-08-19 16:59:01,TAG,000d,-43,ff:ff:10:d5:6f:2f,0,1732
2024-08-19 16:59:01,TAG,0010,-26,ff:ff:10:d5:4d:85,0,1046
2024-08-19 16:59:01,TAG,000d,-44,ff:ff:10:d5:4d:85,0,1733
2024-08-19 16:59:02,TAG,000e,-47,ff:ff:10:d5:4d:85,0,1807
2024-08-19 16:59:02,TAG,0010,-41,ff:ff:10:d5:6f:2f,0,1047
2024-08-19 16:59:02,TAG,000d,-40,ff:ff:10:d5:6f:2f,0,1734
2024-08-19 16:59:03,HEARTBEAT,0010,,,0,1048
2024-08-19 16:59:03,TAG,0010,-26,ff:ff:10:d5:4d:85,0,1049
2024-08-19 16:59:03,TAG,000d,-42,ff:ff:10:d5:4d:85,0,1735
2024-08-19 16:59:03,TAG,000e,-45,ff:ff:10:d5:4d:85,0,1808
2024-08-19 16:59:04,TAG,000d,-42,ff:ff:10:d5:6f:2f,0,1736
2024-08-19 16:59:05,TAG,000e,-43,ff:ff:10:d5:6f:2f,0,1809
2024-08-19 16:59:05,TAG,0010,-27,ff:ff:10:d5:4d:85,0,1050
2024-08-19 16:59:05,TAG,000e,-46,ff:ff:10:d5:4d:85,0,1810
2024-08-19 16:59:06,TAG,000d,-42,ff:ff:10:d5:4d:85,0,1737
2024-08-19 16:59:06,HEARTBEAT,0010,,,0,1051
2024-08-19 16:59:06,TAG,000d,-40,ff:ff:10:d5:6f:2f,0,1738
2024-08-19 16:59:07,TAG,000d,-45,ff:ff:10:d5:4d:85,0,1739
2024-08-19 16:59:08,TAG,000e,-47,ff:ff:10:d5:4d:85,0,1811
2024-08-19 16:59:08,TAG,0010,-45,ff:ff:10:d5:6f:2f,0,1052
2024-08-19 16:59:08,TAG,000d,-42,ff:ff:10:d5:6f:2f,0,1740
